task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
59	f4/f51d1b	226824	kraken_pipeline:progressive_kraken_reports (2)	COMPLETED	0	2023-09-25 06:06:15.529	14.9s	13.7s	100.7%	407 MB	2.4 GB	44.1 MB	24.9 MB
58	36/a37173	226835	kraken_pipeline:progressive_bracken (1)	COMPLETED	0	2023-09-25 06:06:15.545	28.1s	27s	111.1%	407.9 MB	2.4 GB	458.2 MB	24.9 MB
35	21/a9d4c9	229018	kraken_pipeline:kraken2_client (4)	COMPLETED	0	2023-09-25 06:06:30.383	14.4s	13.9s	106.3%	419.5 MB	2.4 GB	44.4 MB	25 MB
60	aa/13f933	229160	kraken_pipeline:progressive_stats (3)	COMPLETED	0	2023-09-25 06:06:31.399	15.5s	13.9s	102.3%	408 MB	2.4 GB	44.1 MB	24.9 MB
61	4d/d45bb7	229169	kraken_pipeline:progressive_kraken_reports (3)	COMPLETED	0	2023-09-25 06:06:31.414	15.6s	14s	101.7%	407.1 MB	2.4 GB	44.1 MB	24.9 MB
36	00/27066f	231566	kraken_pipeline:kraken2_client (5)	COMPLETED	0	2023-09-25 06:06:44.771	15.4s	14.8s	105.3%	412 MB	2.4 GB	44.1 MB	24.9 MB
62	b7/97dce8	231495	kraken_pipeline:makeReport (1)	COMPLETED	0	2023-09-25 06:06:44.655	16.6s	15.4s	104.4%	411.7 MB	2.4 GB	45.9 MB	26.8 MB
64	e1/1ad690	232240	kraken_pipeline:progressive_stats (4)	COMPLETED	0	2023-09-25 06:06:47.073	15.9s	14.8s	105.1%	404.6 MB	2.4 GB	44.1 MB	24.9 MB
66	fc/6f9720	235669	kraken_pipeline:output (3)	COMPLETED	0	2023-09-25 06:07:02.289	1.6s	15ms	40.0%	0	0	55.7 KB	201 B
65	ca/832b32	232557	kraken_pipeline:progressive_kraken_reports (4)	COMPLETED	0	2023-09-25 06:06:48.090	15.9s	14.6s	104.4%	414.2 MB	2.4 GB	44.1 MB	24.9 MB
63	56/173cc2	231484	kraken_pipeline:progressive_bracken (2)	COMPLETED	0	2023-09-25 06:06:44.637	29.3s	28.2s	112.6%	411 MB	2.4 GB	454.2 MB	24.9 MB
37	52/1f68c7	235267	kraken_pipeline:kraken2_client (6)	COMPLETED	0	2023-09-25 06:07:00.166	14.7s	14.2s	105.1%	415.2 MB	2.4 GB	44.1 MB	24.9 MB
67	fe/99ae76	236042	kraken_pipeline:progressive_stats (5)	COMPLETED	0	2023-09-25 06:07:03.873	15.3s	14.1s	106.1%	405 MB	2.4 GB	44.1 MB	24.9 MB
68	9f/1f27f2	236265	kraken_pipeline:progressive_kraken_reports (5)	COMPLETED	0	2023-09-25 06:07:05.039	15.1s	14.1s	104.8%	417.6 MB	2.4 GB	44.1 MB	24.9 MB
69	35/9d4acf	238091	kraken_pipeline:makeReport (2)	COMPLETED	0	2023-09-25 06:07:14.915	17.7s	16.1s	104.6%	410 MB	2.4 GB	45.9 MB	26.8 MB
73	25/93a083	242166	kraken_pipeline:output (4)	COMPLETED	0	2023-09-25 06:07:33.607	1.2s	8ms	64.0%	1 MB	3.8 MB	55.7 KB	201 B
71	d5/40b3f2	239389	kraken_pipeline:progressive_stats (6)	COMPLETED	0	2023-09-25 06:07:20.148	16.6s	15.5s	106.0%	415.6 MB	2.4 GB	44.1 MB	24.9 MB
72	fb/7fd03f	239766	kraken_pipeline:progressive_kraken_reports (6)	COMPLETED	0	2023-09-25 06:07:21.166	17.1s	16s	104.7%	413 MB	2.4 GB	44.1 MB	24.9 MB
70	68/95e06b	238100	kraken_pipeline:progressive_bracken (3)	COMPLETED	0	2023-09-25 06:07:14.930	29.6s	28.6s	114.6%	411.7 MB	2.4 GB	458.2 MB	24.9 MB
38	7e/e037d0	238118	kraken_pipeline:kraken2_client (7)	COMPLETED	0	2023-09-25 06:07:14.945	41.7s	41.2s	58.8%	413.3 MB	2.4 GB	127.4 MB	30.5 MB
74	34/044cce	242923	kraken_pipeline:makeReport (3)	COMPLETED	0	2023-09-25 06:07:45.533	15.6s	14.4s	105.9%	412.5 MB	2.4 GB	46 MB	26.9 MB
78	e3/fc1721	245919	kraken_pipeline:output (5)	COMPLETED	0	2023-09-25 06:08:02.172	1.1s	8ms	69.6%	0	0	55.7 KB	201 B
39	7b/ad7697	244690	kraken_pipeline:kraken2_client (8)	COMPLETED	0	2023-09-25 06:07:56.706	14.9s	14.4s	106.4%	416 MB	2.4 GB	44.1 MB	24.9 MB
77	57/0d940f	244843	kraken_pipeline:progressive_kraken_reports (7)	COMPLETED	0	2023-09-25 06:07:57.747	15.8s	14.4s	105.7%	405.4 MB	2.4 GB	44.1 MB	24.9 MB
75	ce/72e597	242933	kraken_pipeline:progressive_bracken (4)	COMPLETED	0	2023-09-25 06:07:45.550	28.2s	26.6s	113.5%	684 MB	2.4 GB	458.2 MB	24.9 MB
76	77/d2f1b6	244834	kraken_pipeline:progressive_stats (7)	COMPLETED	0	2023-09-25 06:07:57.731	16.2s	14.3s	105.3%	405.8 MB	2.4 GB	44.1 MB	24.9 MB
40	be/c6358b	247409	kraken_pipeline:kraken2_client (9)	COMPLETED	0	2023-09-25 06:08:11.598	15.1s	14.4s	104.9%	403.8 MB	2.4 GB	44.1 MB	24.9 MB
79	0d/b5f399	247723	kraken_pipeline:progressive_kraken_reports (8)	COMPLETED	0	2023-09-25 06:08:13.724	16s	14.8s	105.0%	405.8 MB	2.4 GB	44.1 MB	24.9 MB
82	9d/2049f1	248197	kraken_pipeline:progressive_stats (8)	COMPLETED	0	2023-09-25 06:08:14.965	16s	14.8s	103.7%	418.1 MB	2.4 GB	44.1 MB	24.9 MB
80	ca/5d039f	247810	kraken_pipeline:makeReport (4)	COMPLETED	0	2023-09-25 06:08:13.933	17.9s	16s	104.2%	408.7 MB	2.4 GB	46 MB	26.9 MB
85	53/e3afc1	252350	kraken_pipeline:output (6)	COMPLETED	0	2023-09-25 06:08:32.852	1.1s	8ms	76.2%	1 MB	3.8 MB	55.7 KB	201 B
81	ad/5f881d	247819	kraken_pipeline:progressive_bracken (5)	COMPLETED	0	2023-09-25 06:08:13.950	30.4s	28.9s	111.4%	410.7 MB	2.4 GB	458.2 MB	24.9 MB
84	6f/e84300	252064	kraken_pipeline:progressive_stats (9)	COMPLETED	0	2023-09-25 06:08:31.829	16.5s	15.2s	104.5%	405.9 MB	2.4 GB	44.1 MB	24.9 MB
83	91/61eb80	251749	kraken_pipeline:progressive_kraken_reports (9)	COMPLETED	0	2023-09-25 06:08:30.783	17.7s	16.3s	104.1%	411 MB	2.4 GB	44.1 MB	24.9 MB
86	b5/0b3140	254168	kraken_pipeline:makeReport (5)	COMPLETED	0	2023-09-25 06:08:45.330	15.9s	14.6s	105.7%	405.2 MB	2.4 GB	46 MB	26.9 MB
88	15/c4e371	256209	kraken_pipeline:output (7)	COMPLETED	0	2023-09-25 06:09:02.285	1.1s	10ms	64.0%	1.1 MB	3.8 MB	55.7 KB	201 B
87	ea/810d7f	254179	kraken_pipeline:progressive_bracken (6)	COMPLETED	0	2023-09-25 06:08:45.347	26.5s	25.2s	115.6%	406.5 MB	2.4 GB	454.2 MB	24.9 MB
41	fc/2386b7	251242	kraken_pipeline:kraken2_client (10)	COMPLETED	0	2023-09-25 06:08:26.666	46.6s	46.2s	51.6%	413.2 MB	2.4 GB	137.8 MB	31.8 MB
89	c6/f14a0d	256769	kraken_pipeline:makeReport (6)	COMPLETED	0	2023-09-25 06:09:12.839	17.9s	16.3s	99.7%	408.2 MB	2.4 GB	46 MB	26.9 MB
91	d0/02a4f8	257282	kraken_pipeline:progressive_kraken_reports (10)	COMPLETED	0	2023-09-25 06:09:14.345	16.9s	15s	100.4%	417.2 MB	2.4 GB	44.1 MB	24.9 MB
