task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
40	74/dcb9b7	26620	kraken_pipeline:progressive_kraken_reports (4)	COMPLETED	0	2023-09-25 20:11:06.865	35.4s	32.9s	102.1%	421.3 MB	919.9 MB	46.8 MB	26.7 MB
41	a0/275324	26597	kraken_pipeline:progressive_stats (4)	COMPLETED	0	2023-09-25 20:11:06.780	35.6s	32.9s	102.4%	421.1 MB	920 MB	46.7 MB	26.7 MB
42	ea/bd597a	26715	kraken_pipeline:progressive_bracken (4)	COMPLETED	0	2023-09-25 20:11:42.488	4m 14s	4m 10s	138.4%	788.4 MB	1.9 GB	512.9 MB	27.2 MB
43	ff/d330e2	26921	kraken_pipeline:makeReport (4)	COMPLETED	0	2023-09-25 20:15:57.175	1m 54s	1m 48s	112.7%	420.8 MB	955.4 MB	52.1 MB	31.9 MB
44	f8/196300	27022	kraken_pipeline:output (6)	COMPLETED	0	2023-09-25 20:17:52.543	4.2s	45ms	69.6%	0	0	55.1 KB	199 B
19	2b/472212	26596	kraken_pipeline:kraken2_client (5)	COMPLETED	0	2023-09-25 20:11:06.696	9m 27s	9m 25s	16.0%	595.5 MB	1.1 GB	186.4 MB	54.5 MB
45	fd/c36a4f	27116	kraken_pipeline:progressive_kraken_reports (5)	COMPLETED	0	2023-09-25 20:20:33.959	53.9s	51.3s	107.2%	421.3 MB	920.1 MB	46.8 MB	26.7 MB
46	b9/b71e69	27126	kraken_pipeline:progressive_stats (5)	COMPLETED	0	2023-09-25 20:20:34.010	53.9s	51.2s	107.7%	420.8 MB	919.9 MB	46.7 MB	26.7 MB
47	46/f26dc4	27257	kraken_pipeline:progressive_bracken (5)	COMPLETED	0	2023-09-25 20:21:29.028	3m 27s	3m 24s	136.3%	746.5 MB	1.9 GB	512.8 MB	27.2 MB
48	04/b5c31d	27513	kraken_pipeline:makeReport (5)	COMPLETED	0	2023-09-25 20:24:57.551	1m 22s	1m 19s	104.8%	421.1 MB	957.2 MB	52.1 MB	33.4 MB
49	2c/187bb8	27606	kraken_pipeline:output (7)	COMPLETED	0	2023-09-25 20:26:21.182	3s	13ms	66.7%	0	0	55.1 KB	199 B
20	3a/33b14b	27115	kraken_pipeline:kraken2_client (6)	COMPLETED	0	2023-09-25 20:20:33.918	7m 36s	7m 34s	23.5%	421.4 MB	984.4 MB	158.8 MB	40.3 MB
51	34/dc00ca	27691	kraken_pipeline:progressive_stats (6)	COMPLETED	0	2023-09-25 20:28:10.357	34.5s	32.1s	100.6%	421.1 MB	919.9 MB	46.7 MB	26.7 MB
50	0b/691069	27692	kraken_pipeline:progressive_kraken_reports (6)	COMPLETED	0	2023-09-25 20:28:10.437	34.6s	32.1s	100.8%	421.4 MB	919.9 MB	46.8 MB	26.7 MB
52	ca/4b5f39	27817	kraken_pipeline:progressive_bracken (6)	COMPLETED	0	2023-09-25 20:28:46.125	3m 2s	2m 58s	123.3%	791.5 MB	1.9 GB	512.7 MB	27.1 MB
53	59/9f0b0d	27985	kraken_pipeline:makeReport (6)	COMPLETED	0	2023-09-25 20:31:49.961	1m 18s	1m 14s	104.7%	463.8 MB	1 GB	52.2 MB	34.3 MB
54	ba/a1f72a	28070	kraken_pipeline:output (8)	COMPLETED	0	2023-09-25 20:33:09.141	1.9s	14ms	72.7%	0	0	55.1 KB	199 B
21	64/6f4495	27689	kraken_pipeline:kraken2_client (7)	COMPLETED	0	2023-09-25 20:28:10.302	5m 7s	5m 6s	21.8%	421 MB	919.9 MB	128.6 MB	40.2 MB
55	9d/f73465	28143	kraken_pipeline:progressive_stats (7)	COMPLETED	0	2023-09-25 20:33:17.702	29.2s	27.6s	99.9%	421.2 MB	919.8 MB	46.7 MB	26.7 MB
56	01/5e27d6	28121	kraken_pipeline:progressive_kraken_reports (7)	COMPLETED	0	2023-09-25 20:33:17.595	30s	28.1s	99.2%	421.4 MB	919.9 MB	46.7 MB	26.7 MB
57	57/71bccd	28235	kraken_pipeline:progressive_bracken (7)	COMPLETED	0	2023-09-25 20:33:47.767	3m 43s	3m 35s	119.2%	809.1 MB	2 GB	512.7 MB	27.1 MB
58	19/71319a	28483	kraken_pipeline:makeReport (7)	COMPLETED	0	2023-09-25 20:37:31.574	1m 51s	1m 47s	94.0%	481.9 MB	1 GB	52.3 MB	35.3 MB
59	dd/00dd86	28578	kraken_pipeline:output (9)	COMPLETED	0	2023-09-25 20:39:23.721	3.4s	37ms	35.3%	0	0	55.1 KB	199 B
22	21/88e359	28109	kraken_pipeline:kraken2_client (8)	COMPLETED	0	2023-09-25 20:33:17.532	7m 39s	7m 37s	22.3%	461.8 MB	976.4 MB	170.6 MB	42.9 MB
62	24/931a5a	28876	kraken_pipeline:stop_kraken_server	COMPLETED	0	2023-09-25 20:40:57.678	1.6s	200ms	79.0%	4.6 MB	23.9 MB	68.8 KB	260 B
24	9b/4595a8	24264	kraken_pipeline:kraken_server	COMPLETED	0	2023-09-25 19:42:30.186	58m 33s	58m 28s	200.0%	8.3 GB	8.9 GB	7.5 GB	3.6 KB
61	81/5647ff	28790	kraken_pipeline:progressive_kraken_reports (8)	COMPLETED	0	2023-09-25 20:40:57.131	1m 23s	1m 20s	105.1%	421.1 MB	919.9 MB	46.8 MB	26.7 MB
60	28/176852	28789	kraken_pipeline:progressive_stats (8)	COMPLETED	0	2023-09-25 20:40:57.062	1m 24s	1m 20s	102.9%	421.2 MB	920.1 MB	46.7 MB	26.7 MB
63	1e/df0e24	28931	kraken_pipeline:progressive_bracken (8)	COMPLETED	0	2023-09-25 20:42:20.348	2m 11s	2m 4s	130.5%	804.1 MB	2 GB	512.8 MB	27.1 MB
64	49/5d84d6	29038	kraken_pipeline:makeReport (8)	COMPLETED	0	2023-09-25 20:44:31.742	32.2s	30.8s	101.1%	503.3 MB	1.1 GB	52.4 MB	36.3 MB
65	e5/fb4843	29098	kraken_pipeline:output (10)	COMPLETED	0	2023-09-25 20:45:04.021	1.1s	10ms	100.0%	0	0	55.1 KB	200 B
