task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
82	65/955e08	134828	kraken_pipeline:progressive_kraken_reports (8)	COMPLETED	0	2023-09-25 04:12:56.245	16s	14.7s	104.7%	407.6 MB	2.4 GB	44.1 MB	24.9 MB
40	51/808c69	134167	kraken_pipeline:kraken2_client (9)	COMPLETED	0	2023-09-25 04:12:53.097	19.4s	18.9s	87.9%	417.1 MB	2.4 GB	55.4 MB	25.7 MB
80	c2/c6b528	131588	kraken_pipeline:progressive_bracken (5)	COMPLETED	0	2023-09-25 04:12:42.371	30.5s	29s	112.1%	419.6 MB	2.4 GB	454.2 MB	24.9 MB
41	29/30418b	137353	kraken_pipeline:kraken2_client (10)	COMPLETED	0	2023-09-25 04:13:12.562	15.9s	15.3s	106.2%	403.4 MB	2.4 GB	44.4 MB	25 MB
85	9b/5b09ca	137499	kraken_pipeline:progressive_kraken_reports (9)	COMPLETED	0	2023-09-25 04:13:12.866	16.9s	15.3s	105.7%	415.1 MB	2.4 GB	44.1 MB	24.9 MB
84	f5/dede4b	137487	kraken_pipeline:progressive_stats (9)	COMPLETED	0	2023-09-25 04:13:12.844	17.1s	15.5s	105.1%	426 MB	2.4 GB	44.1 MB	25 MB
86	cd/6f8bb5	137858	kraken_pipeline:makeReport (5)	COMPLETED	0	2023-09-25 04:13:13.882	18.7s	17s	104.0%	411.3 MB	2.4 GB	46 MB	27 MB
90	11/0712b9	142274	kraken_pipeline:output (7)	COMPLETED	0	2023-09-25 04:13:33.572	1.1s	10ms	55.2%	1.1 MB	3.8 MB	55.7 KB	201 B
42	2d/bf5d45	141083	kraken_pipeline:kraken2_client (11)	COMPLETED	0	2023-09-25 04:13:28.465	15.3s	14.7s	104.5%	413.1 MB	2.4 GB	44.1 MB	24.9 MB
87	6c/92e5a8	137868	kraken_pipeline:progressive_bracken (6)	COMPLETED	0	2023-09-25 04:13:13.899	30.8s	29.2s	113.5%	405.2 MB	2.4 GB	454.2 MB	24.9 MB
89	8b/bfb41d	141684	kraken_pipeline:progressive_stats (10)	COMPLETED	0	2023-09-25 04:13:30.966	15.9s	14.4s	105.4%	421.7 MB	2.4 GB	44.1 MB	25 MB
